kind,workload,container,system_copies,cpu_request,memory_request,scope
DaemonSet,alloy,alloy,2,100m,128Mi,steady
DaemonSet,alloy,config-reloader,2,10m,50Mi,steady
Deployment,loki-gateway,nginx,1,50m,64Mi,steady
StatefulSet,loki,loki,1,500m,1024Mi,steady
StatefulSet,loki,loki-sc-rules,1,20m,64Mi,steady
Deployment,otel-opentelemetry-collector,opentelemetry-collector,1,100m,256Mi,steady
DaemonSet,prometheus-prometheus-node-exporter,node-exporter,2,30m,64Mi,steady
Deployment,prometheus-grafana,grafana-sc-dashboard,1,20m,64Mi,steady
Deployment,prometheus-grafana,grafana-sc-datasources,1,20m,64Mi,steady
Deployment,prometheus-grafana,grafana,1,100m,256Mi,steady
Deployment,prometheus-kube-state-metrics,kube-state-metrics,1,50m,128Mi,steady
Deployment,prometheus-kube-prometheus-operator,kube-prometheus-stack,1,100m,128Mi,steady
Alertmanager,prometheus-kube-prometheus-alertmanager,Alertmanager,1,50m,128Mi,steady
Prometheus,prometheus-kube-prometheus-prometheus,Prometheus,1,500m,1536Mi,steady
Job,prometheus-kube-prometheus-admission-create,create,1,UNSPECIFIED,UNSPECIFIED,transient
Job,prometheus-kube-prometheus-admission-patch,patch,1,UNSPECIFIED,UNSPECIFIED,transient
StatefulSet,tempo,tempo,1,250m,768Mi,steady
Prometheus,operator-generated,config-reloader,1,10m,50Mi,inferred-from-operator-args
Alertmanager,operator-generated,config-reloader,1,10m,50Mi,inferred-from-operator-args
